# index, name, nodeStatus, nodeGender, nodeOffice, nodeSeniority, nodeAge, nodePractice, nodeLawSchool, _pos
0,1,1,1,1,31,64,1,1,"array([0.35388953, 7.13223218])"
1,1,1,1,1,32,62,2,1,"array([0.46639366, 7.23461525])"
2,1,1,1,2,13,67,1,1,"array([0.46528887, 7.4196934 ])"
3,1,1,1,1,31,59,2,3,"array([0.39042393, 7.23949327])"
4,1,1,1,2,31,59,1,2,"array([0.34642219, 7.38017121])"
5,1,1,1,2,29,55,1,1,"array([0.3747842 , 7.36293121])"
6,1,1,1,2,29,63,2,3,"array([0.50746152, 7.36559597])"
7,1,1,1,1,28,53,1,3,"array([0.28571125, 7.08181342])"
8,1,1,1,1,25,53,2,1,"array([0.39783708, 7.13150198])"
9,1,1,1,1,25,53,2,3,"array([0.4348121 , 7.14834092])"
10,1,1,1,1,23,50,1,1,"array([0.3181059, 7.1106791])"
11,1,1,1,1,24,52,2,2,"array([0.40873458, 7.17231543])"
12,1,1,1,1,22,57,1,2,"array([0.31633495, 7.2235126 ])"
13,1,1,1,2,1,56,2,1,"array([0.47718234, 7.31430946])"
14,1,1,1,3,21,48,2,3,"array([0.40950255, 7.27324332])"
15,1,1,1,1,20,46,2,1,"array([0.43181065, 7.2466443 ])"
16,1,1,1,1,23,50,2,1,"array([0.40188644, 7.20328813])"
17,1,1,1,2,18,45,1,2,"array([0.3863563 , 7.43040922])"
18,1,1,1,1,19,46,2,1,"array([0.42736137, 7.2203679 ])"
19,1,1,1,1,19,49,1,1,"array([0.36536462, 7.26470773])"
20,1,1,1,1,17,43,1,2,"array([0.29507826, 7.13649654])"
21,1,1,1,1,9,49,1,3,"array([0.3318739 , 7.25361737])"
22,1,1,1,1,16,45,1,2,"array([0.23347558, 7.31507338])"
23,1,1,1,1,15,44,1,2,"array([0.35370752, 7.23325971])"
24,1,1,1,2,15,43,2,2,"array([0.45687968, 7.28535333])"
25,1,1,1,1,15,41,1,3,"array([0.33739593, 7.20801259])"
26,1,1,2,1,13,47,1,1,"array([0.32522637, 7.15821572])"
27,1,1,1,2,11,38,2,2,"array([0.41658061, 7.30814869])"
28,1,1,2,1,10,38,2,3,"array([0.44351455, 7.18945826])"
29,1,1,1,2,7,39,1,3,"array([0.34934448, 7.3319962 ])"
30,1,1,1,2,8,34,1,2,"array([0.3537188, 7.3027601])"
31,1,1,1,2,8,33,1,3,"array([0.38559254, 7.32895765])"
32,1,1,1,2,8,37,1,3,"array([0.31454149, 7.3448891 ])"
33,1,1,2,1,8,36,2,2,"array([0.47088475, 7.20278026])"
34,1,1,1,2,8,33,2,3,"array([0.4431313 , 7.33299278])"
35,1,1,1,1,5,43,1,3,"array([0.32217835, 7.28540264])"
36,2,2,1,3,5,44,2,3,"array([0.53317349, 7.30029591])"
37,2,2,2,1,7,53,1,2,"array([0.29672168, 7.26633933])"
38,2,2,2,1,6,37,1,1,"array([0.28903306, 7.23116234])"
39,2,2,1,1,6,34,1,1,"array([0.24484723, 7.17625902])"
40,2,2,1,1,5,31,1,2,"array([0.25629673, 7.20709008])"
41,2,2,1,1,4,31,2,2,"array([0.37247555, 7.2041189 ])"
42,2,2,2,1,5,47,1,2,"array([0.31180898, 7.181721  ])"
43,2,2,2,3,5,53,2,1,"array([0.5631983 , 7.23668205])"
44,2,2,1,1,3,38,2,3,"array([0.46810225, 7.16510106])"
45,2,2,2,2,3,42,2,2,"array([0.50438133, 7.25870687])"
46,2,2,1,3,3,38,1,3,"array([0.33395518, 7.43645417])"
47,2,2,2,1,1,35,2,3,"array([0.43547183, 7.11023404])"
48,2,2,1,1,4,36,1,2,"array([0.21957869, 7.14346602])"
49,2,2,1,2,3,31,2,2,"array([0.41286904, 7.37387804])"
50,2,2,2,2,4,29,1,3,"array([0.27354264, 7.3525573 ])"
51,2,2,1,1,4,29,1,3,"array([0.21948193, 7.21219129])"
52,2,2,1,1,10,38,2,3,"array([0.52516787, 7.1398163 ])"
53,2,2,1,1,3,29,1,3,"array([0.26376491, 7.29280959])"
54,2,2,1,1,3,34,1,3,"array([0.22692708, 7.27093511])"
55,2,2,1,1,3,38,1,2,"array([0.23287087, 7.23857277])"
56,2,2,2,1,3,33,1,2,"array([0.27757274, 7.16634808])"
57,2,2,1,2,3,33,1,3,"array([0.30004118, 7.38341877])"
58,2,2,2,2,2,30,1,2,"array([0.2817278 , 7.43272515])"
59,2,2,2,1,2,31,2,2,"array([0.51191398, 7.19764672])"
60,2,2,2,1,2,34,2,3,"array([0.4795965 , 7.10296286])"
61,2,2,1,1,2,32,2,2,"array([0.3798511 , 7.09919712])"
62,2,2,1,2,2,29,2,2,"array([0.45925226, 7.37569708])"
63,2,2,2,1,2,45,2,2,"array([0.37767839, 7.16491693])"
64,2,2,1,1,2,28,1,3,"array([0.28188926, 7.20106279])"
65,2,2,1,1,1,43,1,3,"array([0.25995137, 7.24900323])"
66,2,2,2,1,1,35,1,2,"array([0.1747275 , 7.25008696])"
67,2,2,1,1,1,26,1,3,"array([0.2525445 , 7.12935282])"
68,2,2,2,1,1,38,1,3,"array([0.18520221, 7.16496944])"
69,2,2,1,1,1,31,2,2,"array([0.34875524, 7.17611037])"
70,2,2,2,1,1,26,1,2,"array([0.18292159, 7.21063637])"
